type,name,region,positions,party,link
Senator,the Hon Eric Abetz,Tasmania,,,/Senators_and_Members/Parliamentarian?MPID=N26
Representative,Hon Anthony Albanese MP,"Grayndler, New South Wales",,,/Senators_and_Members/Parliamentarian?MPID=R36
Representative,"Mr John Alexander OAM, MP","Bennelong, New South Wales",,,/Senators_and_Members/Parliamentarian?MPID=M3M
Representative,Dr Katie Allen MP,"Higgins, Victoria",,,/Senators_and_Members/Parliamentarian?MPID=282986
Representative,Dr Anne Aly MP,"Cowan, Western Australia",,,/Senators_and_Members/Parliamentarian?MPID=13050
Representative,Hon Karen Andrews MP,"McPherson, Queensland",,,/Senators_and_Members/Parliamentarian?MPID=230886
Representative,Hon Kevin Andrews MP,"Menzies, Victoria",,,/Senators_and_Members/Parliamentarian?MPID=HK5
Senator,Alex Antic,South Australia,,,/Senators_and_Members/Parliamentarian?MPID=269375
Representative,Mrs Bridget Archer MP,"Bass, Tasmania",,,/Senators_and_Members/Parliamentarian?MPID=282237
Senator,Wendy Askew,Tasmania,,,/Senators_and_Members/Parliamentarian?MPID=281558
Senator,Tim Ayres,New South Wales,,,/Senators_and_Members/Parliamentarian?MPID=16913
Representative,Mr Adam Bandt MP,"Melbourne, Victoria",,,/Senators_and_Members/Parliamentarian?MPID=M3C
