name,type,country,url,listing_count
Alaska,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=ak,22
Alabama,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=al,98
Arkansas,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=ar,99
Arizona,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=az,84
California,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=ca,438
Colorado,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=co,123
Connecticut,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=ct,13
Delaware,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=de,5
Florida,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=fl,324
Georgia,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=ga,132
Iowa,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=ia,76
Idaho,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=id,86
Illinois,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=il,298
Indiana,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=in,78
Kansas,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=ks,43
Kentucky,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=ky,110
Louisiana,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=la,43
Massachusetts,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=ma,35
Maryland,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=md,35
Maine,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=me,17
Michigan,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=mi,216
Minnesota,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=mn,73
Missouri,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=mo,145
Mississippi,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=ms,23
Montana,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=mt,46
North Carolina,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=nc,96
North Dakota,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=nd,6
Nebraska,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=ne,14
New Hampshire,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=nh,16
New Jersey,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=nj,70
New Mexico,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=nm,42
Nevada,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=nv,9
New York,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=ny,105
Ohio,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=oh,288
Oklahoma,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=ok,95
Oregon,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=or,249
Pennsylvania,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=pa,116
Rhode Island,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=ri,5
South Carolina,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=sc,52
South Dakota,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=sd,17
Tennessee,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=tn,99
Texas,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=tx,237
Utah,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=ut,70
Virginia,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=va,77
Vermont,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=vt,9
Washington,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=wa,653
Wisconsin,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=wi,96
West Virginia,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=wv,101
Wyoming,State,USA,http://www.bfro.net/GDB/state_listing.asp?state=wy,28
Alberta,Province,Canada,http://www.bfro.net/GDB/show_county_reports.asp?state=ca-al,39
British Columbia,Province,Canada,http://www.bfro.net/GDB/show_county_reports.asp?state=ca-bc,130
Manitoba,Province,Canada,http://www.bfro.net/GDB/show_county_reports.asp?state=ca-mn,31
New Brunswick,Province,Canada,http://www.bfro.net/GDB/show_county_reports.asp?state=ca-nb,7
Nova Scotia,Province,Canada,http://www.bfro.net/GDB/show_county_reports.asp?state=ca-ns,3
Ontario,Province,Canada,http://www.bfro.net/GDB/show_county_reports.asp?state=ca-on,67
Quebec,Province,Canada,http://www.bfro.net/GDB/show_county_reports.asp?state=ca-qu,4
Saskatchewan,Province,Canada,http://www.bfro.net/GDB/show_county_reports.asp?state=ca-sk,7
Yukon,Province,Canada,http://www.bfro.net/GDB/show_county_reports.asp?state=ca-yu,5
